STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/1/18,54,65,46
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/2/18,55,58,53
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/3/18,54,56,50
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/4/18,54,57,50
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/5/18,54,57,50
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/6/18,50,59,45
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/7/18,47,48,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/8/18,51,56,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/9/18,51,56,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/10/18,51,60,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/11/18,51,58,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/12/18,53,63,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/13/18,49,54,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/14/18,49,53,46
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/15/18,53,63,46
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/16/18,53,56,51
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/17/18,51,56,48
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/18/18,50,55,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/19/18,47,54,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/20/18,46,54,41
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/21/18,47,54,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/22/18,51,56,44
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/23/18,47,58,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/24/18,47,51,44
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/25/18,47,54,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/26/18,45,54,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/27/18,49,60,40
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/28/18,53,64,46
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/29/18,53,59,50
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/30/18,56,70,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",1/31/18,58,71,48
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/1/18,62,76,53
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/2/18,64,77,57
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/3/18,65,78,56
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/4/18,65,79,59
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/5/18,64,78,55
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/6/18,65,78,56
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/7/18,62,71,57
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/8/18,64,78,53
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/9/18,63,78,54
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/10/18,55,66,49
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/11/18,48,53,44
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/12/18,48,58,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/13/18,51,64,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/14/18,48,56,44
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/15/18,50,63,40
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/16/18,53,66,45
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/17/18,55,70,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/18/18,45,51,38
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/19/18,41,49,36
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/20/18,41,51,31
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/21/18,44,55,37
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/22/18,43,49,38
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/23/18,42,53,33
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/24/18,44,52,35
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/25/18,46,58,38
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/26/18,45,49,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/27/18,46,58,37
USR0000CBAR,"BARNABY CALIFORNIA, CA US",2/28/18,46,54,38
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/1/18,49,55,41
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/2/18,42,49,35
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/3/18,41,48,36
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/4/18,44,55,36
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/5/18,48,60,36
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/6/18,53,65,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/7/18,55,66,49
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/8/18,54,65,47
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/9/18,52,63,48
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/10/18,51,60,45
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/11/18,56,69,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/12/18,57,68,49
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/13/18,52,58,44
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/14/18,47,57,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/15/18,46,51,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/16/18,46,51,41
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/17/18,44,53,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/18/18,46,56,38
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/19/18,50,61,39
USR0000CBAR,"BARNABY CALIFORNIA, CA US",3/20/18,49,52,47
